pl_name,gaia_id,default_flag,sy_snum,sy_pnum,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
HAT-P-6 b,Gaia DR2 1925321658546436352,1,1,1,HATNet,0,3.85298,0.000005,-0.000005,,,,16.589,1.681,-1.681,,,,0,,,85.51,0.35,-0.35,0,,,,0.87,0.0099,-0.0099,,,,115.5,4.2,-4.2,354.7740917,42.4659866
HAT-P-69 b,Gaia DR2 3080104185367102592,1,1,1,HATNet,0,4.7869491,0.0000018,-0.0000021,0.06555,0.0007,-0.00035,18.786,0.572,-0.37,,,,0,,,87.19,0.52,-0.72,0,0.366,0.06,-0.05,0.7627,,,,,,309,49,-49,130.5056385,3.7105662
HAT-P-70 b,Gaia DR2 3291455819447952768,1,1,1,HATNet,0,2.74432452,0.00000079,-0.00000068,0.04739,0.00031,-0.00106,20.961,1.681,-1.121,,,,0,,,96.5,1.42,-0.91,0,-0.629,0.081,-0.054,0.8443,,,,,,649,,,74.5523332,9.9979794
HAT-P-9 b,Gaia DR2 898130030131443584,1,1,1,HATNet,0,3.92281072,0.00000102,-0.00000102,0.05287,0.00078,-0.00078,15.614,0.751,-0.729,237.73684,20.02329,-20.02329,0.084,0.052,-0.047,86.44,0.37,-0.36,0,0.51,0.044,-0.052,1.144,0.018,-0.019,152,42,-39,82.1,6.5,-6.4,110.1685157,37.1405946
HATS-6 b,Gaia DR2 2966680597368750720,1,1,1,HATSouth,0,3.3252725,0.0000021,-0.0000021,0.03623,0.00042,-0.00057,11.187,0.213,-0.213,,,,0,,,88.21,0.084,-0.084,0,0.427,0.02,-0.021,3.23,0.03,-0.03,,,,63,14,-14,88.1468079,-19.0316268
HD 108236 b,Gaia DR2 6125644402384918784,1,1,5,Transiting Exoplanet Survey Satellite (TESS),0,3.795963,0.000025,-0.000034,0.04527,0.00096,-0.00088,1.615,0.051,-0.051,,,,0.045,0.039,-0.033,87.59,0.47,-0.35,0,0.452,0.071,-0.096,0.0285,0.0017,-0.0017,126,51,-62,,,,186.5740627,-51.3630519
HD 108236 c,Gaia DR2 6125644402384918784,1,1,5,Transiting Exoplanet Survey Satellite (TESS),0,6.203449,0.000049,-0.000046,0.062,0.0012,-0.0012,2.071,0.052,-0.052,,,,0.034,0.042,-0.025,88.3,0.29,-0.23,0,0.455,0.069,-0.083,0.0469,0.0021,-0.0022,211,44,-110,,,,186.5740627,-51.3630519
HD 108236 d,Gaia DR2 6125644402384918784,1,1,5,Transiting Exoplanet Survey Satellite (TESS),0,14.175685,0.000083,-0.0001,0.1074,0.0023,-0.0023,2.539,0.062,-0.065,,,,0.055,0.038,-0.035,89.06,0.27,-0.14,0,0.423,0.07,-0.13,0.0705,0.0031,-0.0034,151,46,-33,,,,186.5740627,-51.3630519
HD 108236 e,Gaia DR2 6125644402384918784,1,1,5,Transiting Exoplanet Survey Satellite (TESS),0,19.590025,0.000083,-0.000089,0.1367,0.0022,-0.002,3.083,0.052,-0.052,,,,0.058,0.032,-0.036,89.245,0.12,-0.086,0,0.426,0.059,-0.077,0.1038,0.003,-0.0028,128,37,-54,,,,186.5740627,-51.3630519
HD 108236 f,Gaia DR2 6125644402384918784,1,1,5,CHaracterising ExOPlanets Satellite (CHEOPS),0,29.54115,0.00033,-0.00042,0.1758,0.0041,-0.0038,2.017,0.052,-0.057,,,,0.051,0.036,-0.034,88.963,0.042,-0.042,0,0.808,0.022,-0.022,0.0445,0.0021,-0.0024,275,45,-63,,,,186.5740627,-51.3630519
HD 136352 b,Gaia DR2 5902750168276592256,1,1,3,La Silla Observatory,0,11.57797,0.00008,-0.00013,0.0964,0.0028,-0.0028,1.664,0.043,-0.043,,,,0,,,88.49,0.17,-0.15,0,0.52,0.04,-0.05,0.0208,0.0008,-0.0008,,,,1.46,0.12,-0.12,230.4401147,-48.3188174
HD 136352 c,Gaia DR2 5902750168276592256,1,1,3,La Silla Observatory,0,27.59221,0.00011,-0.00011,0.1721,0.005,-0.005,2.916,0.075,-0.073,,,,0,,,88.571,0.042,-0.045,0,0.872,0.007,-0.007,0.0638,0.0024,-0.0022,,,,2.61,0.12,-0.12,230.4401147,-48.3188174
HD 136352 d,Gaia DR2 5902750168276592256,1,1,3,La Silla Observatory,0,107.245,0.05,-0.05,0.425,0.012,-0.012,2.562,0.088,-0.079,,,,0,,,89.73,0.14,-0.09,0,0.41,0.14,-0.21,0.0492,0.003,-0.0025,,,,1.3,0.13,-0.13,230.4401147,-48.3188174
HD 137496 b,Gaia DR2 6258810550587404672,1,1,2,K2,0,1.62116,0.0000791,-0.0000806,0.02732,0.00019,-0.00019,1.31,0.06,-0.05,,,,0,,,85.8,2.6,-2.2,0,0.27,0.14,-0.17,0.00575,0.000461,-0.000428,,,,2.14,0.29,-0.29,231.7420543,-16.5090014
HD 1397 b,Gaia DR2 4707634458245031552,1,1,1,Transiting Exoplanet Survey Satellite (TESS),0,11.53533,0.00079,-0.0008,0.1097,0.0011,-0.0013,11.5,0.28,-0.303,,,,0.251,0.02,-0.019,88.99,0.67,-0.73,0,0.17,0.12,-0.11,0.2037,0.0027,-0.0023,2.1,6.1,-7,32,1.4,-1.4,4.4471631,-66.3589285
HD 149026 b,Gaia DR2 1331356474971716992,1,1,1,Subaru Telescope,0,2.87589,0.000002,-0.000002,,,,8.295,0.224,-0.224,,,,0,,,84.55,0.58,-0.58,0,,,,0.29,0.0087,-0.0087,,,,43.3,1.2,-1.2,247.6229827,38.3475349
HD 15906 b,Gaia DR2 5175239363214344960,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,10.924709,0.000032,-0.000032,0.09,0.001,-0.001,2.24,0.08,-0.08,,,,0.11,0.04,-0.03,87.98,0.16,-0.12,0,0.86,0.03,-0.03,0.0729,0.0054,-0.0053,160.5,76.9,-75.7,,,,38.2712534,-10.352178
HD 15906 c,Gaia DR2 5175239363214344960,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,21.583298,0.000052,-0.000055,0.141,0.002,-0.001,2.93,0.07,-0.06,,,,0.04,0.01,-0.01,88.75,0.02,-0.03,0,0.9,0.01,-0.01,0.1243,0.0054,-0.0051,247.9,38.8,-45.4,,,,38.2712534,-10.352178
HD 17156 b,Gaia DR2 545560867790611072,1,1,1,Subaru Telescope,0,21.21663,0.00045,-0.00045,,,,12.33,0.336,-0.336,,,,0.68,0,0,87.82,0.17,-0.17,0,,,,0.53,0.0087,-0.0087,,,,279.8,0.1,-0.1,42.4366123,71.7530882
HD 207897 b,Gaia DR2 2300641567596591488,1,1,1,Transiting Exoplanet Survey Satellite (TESS),0,16.202159,0.000085,-0.000083,0.1163,0.0017,-0.0015,2.501,0.082,-0.078,14.4,1.6,-1.6,0.047,0.057,-0.033,88.757,0.067,-0.067,0,0.709,0.043,-0.042,0.0866,0.0029,-0.0027,-100,110,-110,4.24,0.45,-0.46,325.2016451,84.3337613
HD 209458 b,Gaia DR2 1779546757669063552,1,1,1,W. M. Keck Observatory,0,3.52474859,0.00000038,-0.00000038,,,,15.581,0.224,-0.224,,,,0,,,86.71,0.05,-0.05,0,,,,1.5,0.0024,-0.0024,,,,84.7,0.7,-0.7,330.7950219,18.8842419
HD 213885 b,Gaia DR2 6407428994690988928,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,1.008035,0.000021,-0.00002,0.02012,0.00015,-0.00012,1.745,0.051,-0.052,,,,0,,,80.09,0.62,-0.5,0,0.675,0.033,-0.041,0.02,,,,,,5.3,0.39,-0.39,338.9837166,-59.864829
HD 219134 b,Gaia DR2 2009481748875806976,1,1,6,Roque de los Muchachos Observatory,0,3.092926,0.00001,-0.00001,0.03876,0.00047,-0.00047,1.602,0.055,-0.055,,,,0,,,85.05,0.09,-0.09,0,0.9245,0.006,-0.006,0.0358,0.0024,-0.0024,0,,,2.381,0.075,-0.075,348.3372026,57.1696255
HD 219134 c,Gaia DR2 2009481748875806976,1,1,6,Roque de los Muchachos Observatory,0,6.76458,0.00033,-0.00033,0.0653,0.0008,-0.0008,1.511,0.047,-0.047,,,,0.062,0.039,-0.039,87.28,0.1,-0.1,0,0.813,0.025,-0.025,0.0318,0.0019,-0.0019,70,24,-35,1.697,0.075,-0.075,348.3372026,57.1696255
HD 219666 b,Gaia DR2 6492940453524576128,1,1,1,Transiting Exoplanet Survey Satellite (TESS),0,6.04345,0.00001,-0.00001,0.104,0.005,-0.005,4.24,0.16,-0.16,,,,,,,88.938,0.505,-0.505,0,0.402,0.193,-0.193,0.1414,0.0068,-0.0068,,,,,,,349.5592665,-56.9039857
HD 28109 b,Gaia DR2 4668163021600295552,1,1,3,Transiting Exoplanet Survey Satellite (TESS),0,22.89104,0.00035,-0.00036,0.1357,0.0034,-0.0034,2.199,0.098,-0.1,,,,0.3307,,,87.725,0.023,-0.012,0,0.8007,0.0055,-0.0084,0.0188,0.0013,-0.0016,,,,,,,65.2383065,-68.1026875
HD 332231 b,Gaia DR2 2056007995732413312,1,1,1,Transiting Exoplanet Survey Satellite (TESS),0,18.71204,0.00043,-0.00043,0.1436,0.0032,-0.0033,9.718,0.303,-0.28,,,,0.032,0.03,-0.022,89.68,0.22,-0.28,0,0.133,0.12,-0.092,0.4867,0.0058,-0.0055,47,69,-74,17.3,1.2,-1.2,306.741134,33.7443882
HD 63433 b,Gaia DR2 875071278432954240,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,7.10793,0.0004,-0.00034,0.0719,0.0031,-0.0044,2.15,0.1,-0.1,,,,0,,,89.38,0.43,-0.64,0,0.18,0.17,-0.13,0.0467,0.0024,-0.0023,,,,,,,117.4793699,27.3631342
HD 63433 c,Gaia DR2 875071278432954240,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,20.5453,0.0012,-0.0013,0.1458,0.0062,-0.0101,2.67,0.12,-0.12,,,,0,,,89.147,0.069,-0.2,0,0.512,0.063,-0.033,0.0722,0.0038,-0.0037,,,,,,,117.4793699,27.3631342
HD 73583 b,Gaia DR2 5746824674801810816,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,6.39805,0.00001,-0.00001,0.072,0.002,-0.002,2.49,0.1,-0.1,,,,,,,89.428,0.441,-0.441,0,0.248,0.171,-0.171,0.093,0.0056,-0.0056,,,,,,,129.6883026,-13.2565267
HD 89345 b,Gaia DR2 3877070590167177344,1,1,1,K2,0,11.8143,0.0002,-0.0002,0.1066,0.0012,-0.0014,7.398,0.314,-0.336,34.9613,5.40311,-5.72094,0.22,0.095,-0.13,87.21,0.43,-0.22,0,0.645,0.089,-0.15,0.1509,0.0085,-0.0091,-13,58,-27,9.2,1.5,-1.5,154.6710977,10.1288464
HD 97658 b,Gaia DR2 3997075206232885888,1,1,1,W. M. Keck Observatory,0,9.4897116,0.0000008,-0.0000008,,,,2.12,0.06,-0.06,,,,0.05,0.04,-0.03,89.05,0.41,-0.24,0,0.39,0.11,-0.18,0.0712,0.0038,-0.0038,,,,2.8,0.3,-0.3,168.6376584,25.7105962
HIP 113103 b,Gaia DR2 6541360574788758016,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,7.610303,0.000018,-0.000018,0.06899,0.00029,-0.00023,1.829,0.096,-0.067,,,,0.17,0.17,-0.13,88.23,0.18,-0.14,0,0.656,0.07,-0.084,0.0596,0.0062,-0.0051,-10,120,-140,,,,343.5723794,-43.0102291
HIP 113103 c,Gaia DR2 6541360574788758016,1,1,2,Transiting Exoplanet Survey Satellite (TESS),0,14.245648,0.000019,-0.000019,0.10479,0.00045,-0.00035,2.4,0.1,-0.08,,,,0.17,0.17,-0.13,89.24,0.4,-0.22,0,0.614,0.028,-0.063,0.1051,0.011,-0.0087,-70,100,-60,,,,343.5723794,-43.0102291
K2-11 b,Gaia DR2 3810535361999701376,1,1,1,K2,0,39.93767,0.23229,-0.23229,0.2257,0.0143,-0.0143,7.55,9.33,-9.33,,,,,,,,,,0,,,,0.07,,,,,,,,,169.0418328,1.9866832
K2-114 b,Gaia DR2 602494855483616256,1,1,1,K2,0,11.3909311,0.0000034,-0.0000034,0.0943,0.0014,-0.0012,10.447,0.347,-0.347,,,,0.081,0.031,-0.03,89.21,0.22,-0.14,0,0.361,0.067,-0.1,0.01352,0.00033,-0.00036,-51,21,-13,200,11,-11,127.882912,11.922255
K2-13 b,Gaia DR2 3811032513054107648,1,1,1,K2,0,39.91488,0.32477,-0.32477,0.2114,0.0061,-0.0061,1.89,0.95,-0.95,,,,,,,,,,0,,,,0.058,,,,,,,,,170.1554763,2.5027534
K2-133 e,Gaia DR2 148080473682357376,1,1,4,K2,0,26.5841,0.0018,-0.0017,0.1346,0.0011,-0.0011,1.73,0.14,-0.13,,,,,,,89.164,0.012,-0.01,0,0.928,0.049,-0.045,0.0987,0.0086,-0.0081,,,,,,,70.1493775,25.0098135
K2-14 b,Gaia DR2 3892632287473304064,1,1,1,K2,0,8.36802,0.00019,-0.00019,0.0627,0.0006,-0.0006,4.81,0.42,-0.42,,,,,,,,,,0,,,,0.943,,,,,,,,,178.0568745,2.5941222
K2-140 b,Gaia DR2 3579426053724051584,1,1,1,K2,0,6.569188,0.000031,-0.000031,0.068,0.001,-0.001,13.563,1.009,-1.009,,,,0,,,88.3,0.1,-0.1,0,0.42,0.04,-0.04,1.557,0.002,-0.002,90,,,104.1,2.7,-2.7,188.1373172,-9.6076115
K2-15 b,Gaia DR2 3896271842760486272,1,1,1,K2,0,11.8104,0.00204,-0.00204,0.091,0.0018,-0.0018,2.48,0.3,-0.3,,,,,,,,,,0,,,,0.121,,,,,,,,,178.1105741,4.2546649
K2-152 b,Gaia DR2 3596508242468505216,1,1,1,K2,0,32.6479,0.01141,-0.01483,0.1716,0.0012,-0.0012,2.29,0.25,-0.24,,,,,,,,,,0,0.25,0.24,-0.17,0.159,,,,,,,,,181.6324078,-5.8274311
K2-153 b,Gaia DR2 3700937760929835648,1,1,1,K2,0,7.51574,0.00205,-0.0024,0.0614,0.0004,-0.0004,2,0.21,-0.18,,,,,,,,,,0,0.42,0.35,-0.29,0.129,,,,,,,,,183.8088709,2.0208765
K2-154 b,Gaia DR2 3683121446312149504,1,1,2,K2,0,3.67626,0.0003,-0.00031,0.0405,0.0003,-0.0003,1.99,0.21,-0.11,,,,,,,,,,0,0.44,0.33,-0.3,0.11,,,,,,,,,189.0015173,-2.6696217
K2-154 c,Gaia DR2 3683121446312149504,1,1,2,K2,0,7.95486,0.00084,-0.00085,0.0677,0.0005,-0.0005,2.07,0.18,-0.13,,,,,,,,,,0,0.42,0.31,-0.27,0.11,,,,,,,,,189.0015173,-2.6696217
K2-155 b,Gaia DR2 145333927996558976,1,1,3,K2,0,6.342,0.002,-0.002,0.0562,0.0013,-0.0014,1.8,0.2,-0.1,,,,,,,88.3,1.2,-1.9,0,0.34,0.24,-0.23,0.068,0.005,-0.004,,,,,,,65.469614,21.3532633
K2-155 c,Gaia DR2 145333927996558976,1,1,3,K2,0,13.85,0.006,-0.006,0.0946,0.0031,-0.003,2.6,0.7,-0.2,,,,,,,88.96,0.71,-0.88,0,0.45,0.37,-0.31,0.103,0.01,-0.006,,,,,,,65.469614,21.3532633
